CBSA_CODE,YEAR,MONTH,unemployment_rate_monthly
10220,2010,2,6.7
10220,2010,3,6.0
10220,2010,4,5.5
10220,2010,5,5.9
10220,2010,6,6.3
10220,2010,7,5.9
10220,2010,8,5.7
10220,2010,9,5.4
10220,2010,10,5.5
10220,2010,11,5.6
10220,2010,12,5.3
10220,2011,1,6.0
10220,2011,2,5.4
10220,2011,3,4.8
10220,2011,4,4.5
10220,2011,5,4.9
10220,2011,6,5.4
10220,2011,7,5.8
10220,2011,8,5.1
10220,2011,9,5.0
10220,2011,10,5.1
10220,2011,11,4.8
10220,2011,12,4.9
10220,2012,1,5.2
10220,2012,2,4.9
10220,2012,3,4.4
10220,2012,4,4.2
10220,2012,5,4.7
10220,2012,6,5.4
10220,2012,7,5.7
10220,2012,8,5.1
10220,2012,9,4.7
10220,2012,10,4.8
10220,2012,11,4.7
10220,2012,12,5.1
10220,2013,1,6.1
10220,2013,2,5.7
10220,2013,3,5.1
10220,2013,4,4.7
10220,2013,5,5.3
10220,2013,6,5.9
10220,2013,7,5.7
10220,2013,8,5.5
10220,2013,9,5.2
10220,2013,10,5.2
10220,2013,11,4.8
10220,2013,12,4.6
10220,2014,1,4.9
10220,2014,2,5.0
10220,2014,3,4.5
10220,2014,4,3.7
10220,2014,5,4.3
10220,2014,6,4.6
10220,2014,7,4.5
10220,2014,8,4.2
10220,2014,9,3.9
10220,2014,10,3.7
10220,2014,11,3.6
10220,2014,12,3.4
10220,2015,1,3.9
10220,2015,2,3.9
10220,2015,3,3.8
10220,2015,4,3.6
10220,2015,5,4.2
10220,2015,6,4.6
10220,2015,7,4.3
10220,2015,8,3.9
10220,2015,9,3.7
10220,2015,10,3.6
10220,2015,11,3.6
10220,2015,12,3.5
10220,2016,1,4.2
10220,2016,2,4.4
10220,2016,3,4.2
10220,2016,4,3.9
10220,2016,5,4.1
10220,2016,6,4.8
10220,2016,7,4.6
10220,2016,8,4.3
10220,2016,9,4.2
10220,2016,10,3.9
10220,2016,11,3.8
10220,2016,12,3.8
10220,2017,1,4.4
10220,2017,2,4.0
10220,2017,3,3.9
10220,2017,4,3.2
10220,2017,5,3.7
10220,2017,6,4.0
10220,2017,7,4.0
10220,2017,8,4.1
10220,2017,9,3.6
10220,2017,10,3.7
10220,2017,11,3.4
10220,2017,12,3.4
10220,2018,1,3.7
10220,2018,2,3.5
10220,2018,3,3.4
10220,2018,4,3.1
10220,2018,5,3.1
10220,2018,6,3.5
10220,2018,7,3.3
10220,2018,8,3.0
10220,2018,9,2.7
10220,2018,10,2.8
10220,2018,11,2.7
10220,2018,12,2.9
10220,2019,1,4.5
10220,2019,2,3.2
10220,2019,3,2.9
10220,2019,4,2.4
10220,2019,5,2.8
10220,2019,6,3.2
10220,2019,7,3.2
10220,2019,8,2.9
10220,2019,9,2.7
10220,2019,10,4.6
10220,2019,11,2.8
10220,2019,12,2.7
10220,2020,1,3.2
10220,2020,2,3.0
10220,2020,3,3.4
10220,2020,4,11.1
10220,2020,5,8.5
10220,2020,6,8.3
10220,2020,7,6.5
10220,2020,8,5.0
10220,2020,9,5.0
10220,2020,10,4.4
10220,2020,11,4.5
10220,2020,12,4.6
10220,2021,1,4.7
10220,2021,2,4.6
10220,2021,3,3.9
10220,2021,4,3.9
10220,2021,5,4.1
10220,2021,6,4.6
10220,2021,7,4.1
10220,2021,8,3.6
10220,2021,9,3.0
10220,2021,10,2.9
10220,2021,11,2.7
10220,2021,12,2.5
10220,2022,1,3.1
10220,2022,2,3.2
10220,2022,3,2.8
10220,2022,4,2.5
10220,2022,5,3.0
10220,2022,6,3.3
10220,2022,7,3.2
10220,2022,8,3.2
10220,2022,9,2.7
10220,2022,10,2.8
10220,2022,11,2.6
10220,2022,12,2.4
10220,2023,1,3.0
10220,2023,2,3.0
10220,2023,3,2.7
10220,2023,4,2.4
10220,2023,5,3.3
10220,2023,6,3.5
10220,2023,7,3.3
10220,2023,8,3.5
10220,2023,9,3.4
10220,2023,10,3.4
10220,2023,11,3.3
10220,2023,12,3.1
10220,2024,1,3.5
10220,2024,2,3.5
10220,2024,3,3.1
10220,2024,4,2.6
10220,2024,5,3.1
10220,2024,6,3.3
10220,2024,7,3.3
10220,2024,8,2.9
10220,2024,9,2.6
10220,2024,10,2.7
10220,2024,11,2.7
10220,2024,12,2.6
10220,2025,1,3.1
10220,2025,2,3.2
10220,2025,3,2.7
10220,2025,4,2.2
10220,2025,5,2.6
10220,2025,6,3.1
10220,2025,7,2.9
10220,2025,8,2.9
10220,2025,9,3.0
10220,2025,11,3.5
10220,2025,12,3.4
10300,2009,1,14.2
10300,2009,2,15.3
10300,2009,3,15.6
10300,2009,4,15.4
10300,2009,5,16.5
10300,2009,6,17.3
10300,2009,7,18.0
10300,2009,8,16.0
10300,2009,9,15.5
10300,2009,10,14.9
10300,2009,11,14.4
10300,2009,12,15.1
10300,2010,1,15.0
10300,2010,2,15.0
10300,2010,3,15.0
10300,2010,4,13.6
10300,2010,5,13.6
10300,2010,6,13.2
10300,2010,7,14.3
10300,2010,8,13.1
10300,2010,9,11.9
10300,2010,10,11.2
10300,2010,11,10.9
10300,2010,12,11.1
10300,2011,1,12.0
10300,2011,2,11.4
10300,2011,3,10.7
10300,2011,4,10.0
10300,2011,5,10.3
10300,2011,6,10.6
10300,2011,7,11.6
10300,2011,8,10.1
10300,2011,9,9.4
10300,2011,10,8.6
10300,2011,11,8.1
10300,2011,12,8.6
10300,2012,1,9.3
10300,2012,2,9.2
10300,2012,3,8.9
10300,2012,4,7.9
10300,2012,5,8.4
10300,2012,6,8.9
10300,2012,7,9.8
10300,2012,8,8.3
10300,2012,9,7.4
10300,2012,10,7.1
10300,2012,11,6.9
10300,2012,12,7.8
10300,2013,1,8.9
10300,2013,2,8.4
10300,2013,3,8.2
10300,2013,4,7.5
10300,2013,5,7.9
10300,2013,6,8.4
10300,2013,7,9.2
10300,2013,8,7.7
10300,2013,9,7.1
10300,2013,10,6.9
10300,2013,11,6.8
10300,2013,12,6.6
10300,2014,1,7.5
10300,2014,2,7.4
10300,2014,3,7.3
10300,2014,4,6.6
10300,2014,5,6.7
10300,2014,6,6.6
10300,2014,7,7.5
10300,2014,8,6.1
10300,2014,9,5.7
10300,2014,10,5.3
10300,2014,11,5.0
10300,2014,12,5.2
10300,2015,1,6.3
10300,2015,2,5.7
10300,2015,3,5.6
10300,2015,4,5.0
10300,2015,5,5.3
10300,2015,6,5.3
10300,2015,7,5.7
10300,2015,8,4.7
10300,2015,9,4.3
10300,2015,10,4.3
10300,2015,11,3.8
10300,2015,12,4.0
10300,2016,1,5.1
10300,2016,2,4.9
10300,2016,3,4.8
10300,2016,4,4.1
10300,2016,5,4.4
10300,2016,6,4.5
10300,2016,7,5.2
10300,2016,8,4.8
10300,2016,9,4.4
10300,2016,10,4.4
10300,2016,11,3.6
10300,2016,12,3.9
10300,2017,1,5.1
10300,2017,2,5.5
10300,2017,3,4.5
10300,2017,4,3.7
10300,2017,5,3.9
10300,2017,6,4.7
10300,2017,7,5.9
10300,2017,8,5.1
10300,2017,9,4.9
10300,2017,10,4.0
10300,2017,11,3.6
10300,2017,12,4.0
10300,2018,1,5.0
10300,2018,2,4.7
10300,2018,3,4.2
10300,2018,4,3.5
10300,2018,5,3.6
10300,2018,6,4.3
10300,2018,7,5.1
10300,2018,8,4.0
10300,2018,9,3.5
10300,2018,10,3.5
10300,2018,11,3.1
10300,2018,12,3.7
10300,2019,1,4.4
10300,2019,2,4.3
10300,2019,3,4.4
10300,2019,4,3.5
10300,2019,5,3.7
10300,2019,6,4.1
10300,2019,7,4.8
10300,2019,8,3.9
10300,2019,9,3.3
10300,2019,10,4.4
10300,2019,11,2.9
10300,2019,12,3.1
10300,2020,1,4.0
10300,2020,2,3.6
10300,2020,3,4.5
10300,2020,4,24.9
10300,2020,5,18.5
10300,2020,6,12.2
10300,2020,7,10.6
10300,2020,8,7.9
10300,2020,9,6.7
10300,2020,10,5.4
10300,2020,11,4.9
10300,2020,12,5.9
10300,2021,1,6.0
10300,2021,2,5.8
10300,2021,3,5.7
10300,2021,4,5.4
10300,2021,5,5.6
10300,2021,6,6.0
10300,2021,7,6.1
10300,2021,8,5.7
10300,2021,9,4.8
10300,2021,10,4.0
10300,2021,11,3.5
10300,2021,12,3.8
10300,2022,1,4.9
10300,2022,2,5.2
10300,2022,3,4.5
10300,2022,4,4.3
10300,2022,5,4.3
10300,2022,6,5.0
10300,2022,7,5.3
10300,2022,8,4.4
10300,2022,9,3.7
10300,2022,10,3.8
10300,2022,11,3.6
10300,2022,12,3.9
10300,2023,1,4.5
10300,2023,2,4.7
10300,2023,3,4.6
10300,2023,4,3.5
10300,2023,5,4.3
10300,2023,6,4.3
10300,2023,7,4.7
10300,2023,8,4.2
10300,2023,9,3.8
10300,2023,10,3.6
10300,2023,11,3.2
10300,2023,12,3.6
10300,2024,1,4.4
10300,2024,2,4.6
10300,2024,3,4.4
10300,2024,4,4.0
10300,2024,5,4.5
10300,2024,6,5.2
10300,2024,7,6.7
10300,2024,8,5.3
10300,2024,9,4.5
10300,2024,10,4.7
10300,2024,11,4.6
10300,2024,12,4.9
10300,2025,1,6.1
10300,2025,2,6.3
10300,2025,3,5.9
10300,2025,4,5.0
10300,2025,5,5.6
10300,2025,6,5.9
10300,2025,7,6.3
10300,2025,8,5.5
10300,2025,9,4.4
10300,2025,11,4.6
10300,2025,12,4.8
10420,2009,1,9.4
10420,2009,2,9.8
10420,2009,3,10.2
10420,2009,4,10.0
10420,2009,5,10.3
10420,2009,6,10.8
10420,2009,7,10.5
10420,2009,8,10.1
10420,2009,9,10.0
10420,2009,10,10.0
10420,2009,11,10.1
10420,2009,12,10.7
10420,2010,1,12.1
10420,2010,2,11.8
10420,2010,3,11.5
10420,2010,4,10.6
10420,2010,5,10.1
10420,2010,6,10.3
10420,2010,7,10.1
10420,2010,8,9.7
10420,2010,9,9.6
10420,2010,10,9.3
10420,2010,11,9.4
10420,2010,12,9.5
10420,2011,1,10.4
10420,2011,2,10.0
10420,2011,3,9.6
10420,2011,4,8.8
10420,2011,5,8.8
10420,2011,6,9.5
10420,2011,7,9.1
10420,2011,8,8.8
10420,2011,9,8.7
10420,2011,10,8.3
10420,2011,11,7.8
10420,2011,12,8.0
10420,2012,1,8.9
10420,2012,2,8.5
10420,2012,3,8.0
10420,2012,4,7.2
10420,2012,5,6.9
10420,2012,6,7.5
10420,2012,7,7.5
10420,2012,8,7.1
10420,2012,9,6.8
10420,2012,10,6.8
10420,2012,11,6.8
10420,2012,12,7.3
10420,2013,1,8.9
10420,2013,2,8.4
10420,2013,3,8.0
10420,2013,4,7.3
10420,2013,5,7.3
10420,2013,6,7.9
10420,2013,7,7.7
10420,2013,8,7.4
10420,2013,9,7.3
10420,2013,10,7.3
10420,2013,11,6.9
10420,2013,12,6.7
10420,2014,1,7.8
10420,2014,2,7.3
10420,2014,3,6.7
10420,2014,4,5.6
10420,2014,5,5.6
10420,2014,6,5.9
10420,2014,7,6.0
10420,2014,8,5.6
10420,2014,9,5.3
10420,2014,10,5.0
10420,2014,11,5.0
10420,2014,12,5.2
10420,2015,1,6.3
10420,2015,2,5.8
10420,2015,3,5.5
10420,2015,4,4.7
10420,2015,5,4.7
10420,2015,6,5.0
10420,2015,7,4.9
10420,2015,8,4.5
10420,2015,9,4.6
10420,2015,10,4.5
10420,2015,11,4.7
10420,2015,12,4.9
10420,2016,1,5.8
10420,2016,2,5.6
10420,2016,3,5.4
10420,2016,4,4.8
10420,2016,5,4.5
10420,2016,6,5.0
10420,2016,7,5.0
10420,2016,8,4.9
10420,2016,9,5.1
10420,2016,10,4.9
10420,2016,11,4.7
10420,2016,12,5.2
10420,2017,1,6.3
10420,2017,2,5.9
10420,2017,3,5.4
10420,2017,4,4.6
10420,2017,5,4.5
10420,2017,6,5.1
10420,2017,7,5.0
10420,2017,8,4.9
10420,2017,9,4.6
10420,2017,10,4.4
10420,2017,11,4.4
10420,2017,12,4.7
10420,2018,1,5.4
10420,2018,2,5.2
10420,2018,3,4.9
10420,2018,4,4.5
10420,2018,5,4.1
10420,2018,6,4.9
10420,2018,7,4.5
10420,2018,8,4.3
10420,2018,9,4.1
10420,2018,10,4.1
10420,2018,11,4.1
10420,2018,12,4.6
10420,2019,1,5.4
10420,2019,2,4.8
10420,2019,3,4.4
10420,2019,4,3.7
10420,2019,5,3.6
10420,2019,6,4.4
10420,2019,7,4.5
10420,2019,8,4.2
10420,2019,9,4.0
10420,2019,10,3.8
10420,2019,11,3.8
10420,2019,12,4.0
10420,2020,1,5.1
10420,2020,2,4.6
10420,2020,3,5.5
10420,2020,4,14.1
10420,2020,5,12.5
10420,2020,6,11.2
10420,2020,7,9.9
10420,2020,8,7.9
10420,2020,9,7.5
